property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
21896.0,-37.748301,144.976761,121 Nicholson Street,COBURG,13515000.0,house,2015,4.0,1.0,2.0,SC_103,2914,19965,1589,28,0,hospital_144,927,S_173,1287
64113.0,-37.78097534,145.289093,286 Maroondah Highway,CROYDON,4485000.0,house,2009,3.0,1.0,2.0,SC_022,1787,19878,1626,50,0,hospital_164,4462,S_181,1643
3285.0,-37.81689453,144.8645172,29 Stooke Street,YARRAVILLE,3840000.0,house,2008,4.0,1.0,2.0,SC_043,2141,20022,1615,21,0,hospital_056,3241,S_149,2141
64626.0,-37.785949,145.305197,51 MOUNT VIEW PARADE,CROYDON,10150000.0,house,2014,3.0,2.0,2.0,SC_084,2723,19877,809,54,0,hospital_164,5871,S_224,1589
22483.0,-37.739733,144.953181,288 Bell Street,COBURG,8640000.0,house,2011,4.0,1.0,2.0,SC_030,749,19965,1155,28,0,hospital_084,1431,S_172,1352
84783.0,-37.880627,144.994414,225 Brighton Road,ELWOOD,19840000.0,house,2012,4.0,2.0,1.0,SC_015,1873,19955,440,15,0,hospital_009,1381,S_133,713
56291.0,-37.855824,145.100005,18 Morton Road,BURWOOD,10010000.0,house,2010,3.0,1.0,1.0,SC_042,2180,19839,1989,25,0,hospital_089,667,S_112,1192
82898.0,-37.907223,145.258328,8 Maitland Close,ROWVILLE,6640000.0,house,2011,3.0,2.0,2.0,SC_049,5677,19868,4727,0,0,hospital_002,4859,S_027,3055
27538.0,-37.609887,144.923954,7 Bembridge Mews,CRAIGIEBURN,2640000.0,house,2015,3.0,2.0,2.0,SC_016,1916,40221,2277,19,0,hospital_104,3738,S_178,1829
52661.0,-37.822659,145.006162,20 Corsair Street,RICHMOND,10880000.0,house,2015,2.0,1.0,0.0,SC_038,1649,19906,473,12,0,hospital_122,371,S_102,1629
68073.0,-37.83920288,145.0107575,37 Douglas Street,TOORAK,6850000.0,house,2008,5.0,3.0,2.0,SC_038,305,19947,1077,20,0,hospital_132,1376,S_102,298
79356.0,-37.937882,145.160993,767 Princes Highway,SPRINGVALE,5720000.0,house,2015,3.0,1.0,2.0,SC_073,4008,19913,1353,43,0,hospital_124,3601,S_075,1766
70246.0,-37.8719174,145.1047788,63 Cleveland Road,ASHWOOD,5808000.0,house,2011,3.0,2.0,1.0,SC_042,1558,19840,828,27,0,hospital_089,1774,S_112,1324
8109.0,-37.755558,144.750957,14 Lewis Avenue,BURNSIDE,7520000.0,house,2016,3.0,2.0,0.0,SC_048,2307,20001,5328,36,0,hospital_057,7087,S_156,410
53115.0,-37.8254106,145.0072436,353 Burnley Street,RICHMOND,9132000.0,house,2012,2.0,1.0,1.0,SC_038,1387,19906,199,12,0,hospital_122,635,S_102,1366
64558.0,-37.780824,145.290938,5 Briarwood Court,CROYDON,6400000.0,house,2012,4.0,1.0,2.0,SC_022,1886,19878,1764,50,0,hospital_164,4642,S_181,1775
94494.0,-37.931038,145.040989,1/10  Marriot Road,BENTLEIGH,9750000.0,house,2016,2.0,1.0,1.0,SC_046,826,19937,561,38,0,hospital_110,501,S_107,1057
11814.0,-37.71878052,144.82164,30 Patterson Avenue,KEILOR,3672000.0,house,2008,3.0,1.0,2.0,SC_107,1764,20001,3249,36,0,hospital_005,3865,S_222,2157
5246.0,-37.865235,144.834708,51 Mount Street,ALTONA,6645000.0,house,2011,2.0,1.0,2.0,SC_033,3757,19926,589,30,0,hospital_141,6333,S_128,581
66401.0,-37.78162,145.332507,43 Blackburn Road,MOOROOLBARK,4873000.0,house,2014,3.0,1.0,1.0,SC_084,2981,19877,2256,54,0,hospital_113,3063,S_168,2582
7856.0,-37.778445,144.7989,37 Rockbank Road,ARDEER,3892000.0,house,2011,3.0,1.0,1.0,SC_102,3875,20003,2244,31,0,hospital_057,2383,S_130,1915
51184.0,-37.789606,145.143016,29 Wetherby Road,DONCASTER,7932000.0,house,2010,3.0,2.0,3.0,SC_091,1909,19897,2859,35,0,hospital_034,3332,S_188,2130
71399.0,-37.851519,145.236329,3 Nepal Court,WANTIRNA,14464000.0,house,2015,4.0,2.0,2.0,SC_032,3642,19871,2310,41,0,hospital_179,997,S_226,2260
75529.0,-37.903627,145.068008,9 Victory Street,MURRUMBEENA,14310000.0,house,2014,3.0,2.0,2.0,SC_041,2012,19919,1227,29,0,hospital_159,1696,S_015,1945
25162.0,-37.58772278,144.9315949,11 Woodlea Crescent,CRAIGIEBURN,2840000.0,house,2008,3.0,2.0,1.0,SC_110,1322,40221,1831,19,0,hospital_104,5870,S_178,631
92482.0,-37.976677,145.065459,99 Flinders Street,MENTONE,5104000.0,house,2010,3.0,1.0,2.0,SC_003,2676,19865,474,38,0,hospital_133,445,S_011,558
34680.0,-37.721579,144.989432,32 Carrington Road,RESERVOIR,8460000.0,house,2015,3.0,1.0,1.0,SC_103,2153,20011,1610,29,0,hospital_139,1027,S_030,980
20048.0,-37.799518,144.969473,14 University Street,CARLTON,17280000.0,house,2015,2.0,2.0,0.0,SC_008,1124,19843,1119,8,0,hospital_188,432,S_200,951
36327.0,-37.671794,145.039743,24 Winston Street,LALOR,6970000.0,house,2009,3.0,1.0,1.0,SC_062,5414,20005,2069,42,0,hospital_041,3145,S_229,2240
71998.0,-37.837535,145.257254,11 Mark Street,BAYSWATER,4800000.0,house,2011,3.0,1.0,2.0,SC_032,3893,19870,1270,47,0,hospital_002,2042,S_139,1182
95537.0,-37.921861,145.026615,32 Clairmont Avenue,BENTLEIGH,5220000.0,house,2011,3.0,2.0,1.0,SC_046,2072,19938,1030,39,0,hospital_110,1525,S_107,1737
90019.0,-37.960239,145.052809,14 Garfield Street,CHELTENHAM,9680000.0,house,2012,2.0,1.0,1.0,SC_079,1653,19866,616,36,0,hospital_082,444,S_023,342
47786.0,-37.811364,145.043441,116 Edgevale Road,KEW,8550000.0,house,2011,3.0,1.0,1.0,SC_083,1205,19903,1041,22,0,hospital_064,593,S_208,1185
12200.0,-37.700743,144.752592,116 Community Hub,HILLSIDE,3640000.0,house,2013,4.0,2.0,2.0,SC_048,3177,20000,2403,39,0,hospital_057,8775,S_163,614
9397.0,-37.854797,144.728178,22 Caradon Drive,TRUGANINA,6510000.0,house,2014,4.0,2.0,2.0,SC_053,2648,46468,2544,32,0,hospital_073,5771,S_007,1999
15441.0,-37.738247,144.910657,67 CARNARVON ROAD,STRATHMORE,12090000.0,house,2009,3.0,2.0,2.0,SC_082,686,20036,1405,0,0,hospital_184,722,S_197,572
64267.0,-37.78165,145.297369,32 Carroll Avenue,CROYDON,12720000.0,house,2016,4.0,2.0,2.0,SC_022,2252,19877,1697,54,0,hospital_164,5228,S_181,2246
52235.0,-37.81436539,145.0055389,122 Buckingham Sreet,RICHMOND,2529000.0,house,2009,3.0,1.0,1.0,SC_038,2408,19906,1224,12,0,hospital_134,351,S_076,1191
21685.0,-37.72549,144.96565,1 Gould Street,COBURG NORTH,8670000.0,house,2012,2.0,1.0,1.0,SC_030,1839,19963,636,32,0,hospital_084,2729,S_172,1474
74029.0,-37.855868,145.285253,8 Short Street,BORONIA,5915000.0,house,2014,3.0,1.0,1.0,SC_049,4357,19869,430,29,0,hospital_049,677,S_024,537
16250.0,-37.708855,144.906801,1/84 Tarana Avenue,GLENROY,4200000.0,house,2012,3.0,1.0,1.0,SC_010,2256,20032,1224,0,0,hospital_184,3052,S_209,1932
40977.0,-37.706701,145.065223,6 Westham Court,BUNDOORA,18100000.0,house,2013,3.0,1.0,2.0,SC_017,4492,19983,1815,30,0,hospital_037,991,S_155,1365
82265.0,-37.975776,145.237507,5/21 Kingfisher Drive,DOVETON,5700000.0,house,2013,2.0,1.0,2.0,SC_112,2703,19888,3353,53,0,hospital_119,2234,S_195,2272
16071.0,-37.706168,144.900238,4 Isabella Vine Place,GOWANBRAE,10752000.0,house,2013,3.0,2.0,2.0,SC_010,1642,20032,1896,0,0,hospital_184,3334,S_198,1987
40563.0,-37.708254,145.055367,4 Moreton Crescent,BUNDOORA,6972000.0,house,2010,3.0,1.0,2.0,SC_047,3926,19983,2231,30,0,hospital_037,629,S_155,873
25250.0,-37.581568,144.934687,12 Toongabbie Place,CRAIGIEBURN,4900000.0,house,2011,4.0,2.0,2.0,SC_110,1618,40221,2080,19,0,hospital_104,6495,S_178,1135
69829.0,-37.866153,145.083407,26 Tarakan Avenue,ASHBURTON,13600000.0,house,2016,2.0,1.0,2.0,SC_042,1362,19848,445,0,0,hospital_098,264,S_112,1152
24956.0,-37.585825,144.916779,10 Aura Way,CRAIGIEBURN,7360000.0,house,2015,4.0,2.0,3.0,SC_016,721,40221,3294,19,0,hospital_104,5923,S_178,2056
62891.0,-37.8283349,145.2622482,372 Canterbury Road,HEATHMONT,5882500.0,house,2013,4.0,2.0,2.0,SC_022,3540,19870,1389,47,0,hospital_164,2022,S_139,1435
45061.0,-37.699501,145.129483,4 Yimbala Cres,GREENSBOROUGH,20400000.0,house,2012,4.0,2.0,2.0,SC_051,4111,19986,1693,40,0,hospital_075,2678,S_051,1510
70553.0,-37.875018,145.102411,16 Jindabyne Avenue,CHADSTONE,8151000.0,house,2011,2.0,1.0,1.0,SC_042,1232,19840,1085,27,0,hospital_089,1850,S_112,1241
34377.0,-37.722979,145.023883,24 Barwon Avenue,RESERVOIR,7260000.0,house,2010,3.0,1.0,3.0,SC_047,1590,20010,1960,32,0,hospital_025,2216,S_225,567
13891.0,-37.748092,144.919325,156 Napier Street,ESSENDON,9515000.0,house,2015,3.0,1.0,2.0,SC_082,1998,20036,196,0,0,hospital_184,1671,S_197,1038
58005.0,-37.822753,145.150736,32 Gardenia Street,BLACKBURN,16940000.0,house,2014,4.0,3.0,2.0,SC_002,2328,19898,257,35,0,hospital_060,1106,S_018,878
73553.0,-37.842982,145.290448,32 Robertson Crescent,BORONIA,10132000.0,house,2016,3.0,1.0,2.0,SC_022,4099,19869,1735,29,0,hospital_049,1990,S_146,1809
14601.0,-37.749851,144.892751,54 Ogilvie Street,ESSENDON,15300000.0,house,2010,3.0,1.0,2.0,SC_082,2031,20037,2669,0,0,hospital_184,1534,S_197,2030
29350.0,-37.769830999999996,145.00487,127 Separation Street,NORTHCOTE,6800000.0,house,2015,2.0,1.0,0.0,SC_103,2777,19929,932,16,0,hospital_035,712,S_105,1716
16033.0,-37.702013,144.896328,28 Rutherglen Crescent,GOWANBRAE,5500000.0,house,2013,4.0,2.0,2.0,SC_010,1514,20031,2261,4,0,hospital_184,3796,S_198,2299
2387.0,-37.78876877,144.865509,6 Montgomery Street,MAIDSTONE,4165000.0,house,2008,3.0,1.0,2.0,SC_043,629,20022,996,21,0,hospital_056,2336,S_149,629
982.0,-37.810457,144.898219,4 Princess Street,SEDDON,14415000.0,house,2015,2.0,1.0,1.0,SC_011,3243,19997,312,14,0,hospital_003,1944,S_201,884
32121.0,-37.752829,145.009425,19 Carlisle Street,PRESTON,6020000.0,house,2010,3.0,1.0,1.0,SC_103,1466,20014,1225,23,0,hospital_035,936,S_105,664
18590.0,-37.692757,144.916984,28 Waverley Street,BROADMEADOWS,6545000.0,house,2014,3.0,2.0,2.0,SC_059,3589,20031,250,4,0,hospital_104,3850,S_153,1433
67736.0,-37.74137,145.34392,88 The Gateway,LILYDALE,7125000.0,house,2013,3.0,2.0,2.0,SC_084,3674,19876,1362,59,0,hospital_151,1746,S_233,1666
42023.0,-37.765219,145.059682,2A Mount Street,EAGLEMONT,27020000.0,house,2015,3.0,3.0,2.0,SC_017,1309,19934,656,25,0,hospital_046,678,S_100,1119
85227.0,-37.882937,145.011804,11 Prentice Street,ELSTERNWICK,24000000.0,house,2016,4.0,2.0,1.0,SC_023,3511,19954,1225,16,0,hospital_079,305,S_193,744
8992.0,-37.883172,144.758653,24 Andrew Chirnside,SEABROOK,3240000.0,house,2008,4.0,2.0,2.0,SC_092,3459,19924,1525,30,0,hospital_073,8798,S_007,2264
55473.0,-37.841832,145.073161,3 Kirkwood Drive,CAMBERWELL,14500000.0,house,2012,4.0,3.0,2.0,SC_099,2319,19850,331,41,0,hospital_168,2062,S_160,668
70189.0,-37.872331,145.070135,55 Winton Road,ASHBURTON,34200000.0,house,2015,5.0,3.0,3.0,SC_041,1707,19838,427,22,0,hospital_108,1144,S_048,1745
28168.0,-37.799861,144.977353,20 Greeves Street,FITZROY,21250000.0,house,2016,2.0,1.0,0.0,SC_008,1376,19843,1133,8,0,hospital_140,736,S_200,172
69256.0,-37.86680984,145.0357361,68 Claremont Avenue,MALVERN,23380000.0,house,2009,5.0,2.0,2.0,SC_023,1167,19944,718,19,0,hospital_157,471,S_235,969
31181.0,-37.758554,144.993787,352 St Georges Road,THORNBURY,6320000.0,house,2010,3.0,1.0,1.0,SC_103,1953,20014,620,23,0,hospital_035,1614,S_105,1290
11749.0,-37.714921,144.821642,2 OTWAY PLACE,KEILOR,5655000.0,house,2013,3.0,1.0,2.0,SC_107,1945,20001,3369,36,0,hospital_005,4211,S_222,2320
68687.0,-37.856191,145.021661,9 Clarendon Street,ARMADALE,10340000.0,house,2012,2.0,1.0,1.0,SC_038,2063,19945,261,23,0,hospital_092,1009,S_013,873
26127.0,-37.584842,144.908489,25 Folger Road,CRAIGIEBURN,5120000.0,house,2013,3.0,2.0,2.0,SC_016,942,40221,4174,19,0,hospital_104,6143,S_178,2959
61251.0,-37.77953339,145.245575,13 Bridget Court,WARRANWOOD,7100000.0,house,2009,5.0,3.0,0.0,SC_032,3564,19879,3010,46,0,hospital_164,2812,S_157,1931
19702.0,-37.67348099,144.9006043,31 Linga Street,WESTMEADOWS,4560000.0,house,2008,3.0,1.0,0.0,SC_059,2198,20030,2288,0,0,hospital_104,3028,S_153,2380
9104.0,-37.886634,144.758215,5 Simpson Way,SEABROOK,8960000.0,house,2016,4.0,2.0,2.0,SC_092,3344,19924,1843,30,0,hospital_073,8774,S_007,2440
10557.0,-37.796992,144.92942,42 Ormond Street,KENSINGTON,12210000.0,house,2015,3.0,1.0,1.0,SC_011,1989,20041,317,14,0,hospital_114,239,S_086,910
54655.0,-37.83093,145.04039,6/15 Illawarra Road,HAWTHORN,6248000.0,house,2010,2.0,1.0,1.0,SC_083,1093,19904,968,20,0,hospital_127,835,S_208,1140
86420.0,-37.915329,145.000445,25 Lawrence Street,BRIGHTON,20720000.0,house,2014,5.0,2.0,1.0,SC_046,4760,19951,461,22,0,hospital_156,1041,S_009,522
86610.0,-37.902823,144.997727,33 St James Park Drive,BRIGHTON,21970000.0,house,2011,4.0,2.0,2.0,SC_015,3643,19952,574,20,0,hospital_156,1066,S_151,873
11895.0,-37.71862411,144.8257446,6 Kiewa Crescent,KEILOR,5640000.0,house,2008,3.0,2.0,2.0,SC_107,2189,20001,3692,36,0,hospital_005,3983,S_222,2586
47937.0,-37.795132,145.02303,15 Wiltshire Drive,KEW,6174000.0,house,2015,2.0,1.0,2.0,SC_083,2701,19930,1607,18,0,hospital_029,526,S_039,1307
19518.0,-37.673883000000004,144.8957217,1/1 Lavery Place,ATTWOOD,6820000.0,house,2012,3.0,1.0,1.0,SC_059,1771,20030,2787,0,0,hospital_104,3466,S_153,2911
18041.0,-37.672251,144.917672,11 Dookie Court,BROADMEADOWS,4015000.0,house,2013,3.0,1.0,1.0,SC_072,2022,20030,1007,0,0,hospital_104,1987,S_153,692
1705.0,-37.818014,144.848068,12 Corrigan Avenue,BROOKLYN,4048000.0,house,2013,3.0,1.0,1.0,SC_033,801,20022,2378,21,0,hospital_174,4057,S_056,1591
73713.0,-37.862862,145.271209,43 Paton Crescent,BORONIA,8250000.0,house,2014,4.0,2.0,1.0,SC_049,5031,19869,1483,29,0,hospital_002,755,S_024,1492
44108.0,-37.71252823,145.0968781,109 Nepean Street,GREENSBOROUGH,3672000.0,house,2008,2.0,1.0,1.0,SC_009,4880,19984,1463,33,0,hospital_075,1207,S_020,798
48567.0,-37.81321335,145.0432434,56 Fitzwilliam Street,KEW,13260000.0,house,2008,3.0,2.0,2.0,SC_083,1078,19903,886,22,0,hospital_064,698,S_208,1063
64220.0,-37.801708,145.288907,3/30 Alfrick Road,CROYDON,3510000.0,house,2010,2.0,1.0,2.0,SC_022,691,19878,1088,50,0,hospital_164,3749,S_055,670
23491.0,-37.649731,144.897045,2/199 Greenvale Drive,GREENVALE,6440000.0,house,2016,3.0,2.0,2.0,SC_075,1920,44817,3388,33,0,hospital_104,2603,S_211,1912
84717.0,-37.884817,144.991036,19 Foam Street,ELWOOD,11700000.0,house,2010,3.0,1.0,1.0,SC_015,1866,19955,937,15,0,hospital_009,1917,S_133,1099
13306.0,-37.690018,144.762718,6 Chandos Street,SYDENHAM,6252000.0,house,2016,4.0,2.0,2.0,SC_048,4562,20000,1627,39,0,hospital_057,8620,S_163,1227
44315.0,-37.715322,145.102966,15 Glenice Street,GREENSBOROUGH,8288000.0,house,2013,3.0,2.0,2.0,SC_009,4756,19985,1192,37,0,hospital_075,984,S_020,1022
19072.0,-37.666109,144.936911,6 Nyah Court,DALLAS,2250000.0,house,2012,3.0,1.0,1.0,SC_072,2152,19960,1094,39,0,hospital_104,2311,S_153,2019
78346.0,-37.927102,145.188864,72 Stadium Circuit,MULGRAVE,8928000.0,house,2016,4.0,2.0,2.0,SC_073,1932,19890,3900,48,0,hospital_161,2897,S_067,814
76369.0,-37.90965,145.08958,68 Abbeygate Street,OAKLEIGH,8480000.0,house,2013,3.0,1.0,1.0,SC_087,2132,19917,858,33,0,hospital_166,2056,S_010,1329
32727.0,-37.745535,145.017463,4 Lahinch Street,PRESTON,9300000.0,house,2016,3.0,1.0,2.0,SC_047,1566,20013,1926,25,0,hospital_035,1912,S_105,1620
21711.0,-37.742994,144.951582,1 Shackell Street,COBURG,9100000.0,house,2010,2.0,1.0,0.0,SC_030,978,19965,1309,28,0,hospital_084,1264,S_172,1524
40313.0,-37.68774033,145.0683594,3 Newman Close,BUNDOORA,4800000.0,house,2008,1.0,1.0,0.0,SC_062,3804,19984,2728,33,0,hospital_041,692,S_155,1805
41781.0,-37.73580551,145.0751343,2 Dafield Court,ROSANNA,6675000.0,house,2009,2.0,1.0,2.0,SC_017,1964,19983,1115,30,0,hospital_066,2314,S_100,2258
57847.0,-37.815795,145.14829,22 Harold Street,BLACKBURN,7200000.0,house,2014,3.0,1.0,3.0,SC_002,2601,19898,435,35,0,hospital_060,1791,S_018,1431
59442.0,-37.821975,145.210928,15 Good Governs Street,MITCHAM,15860000.0,house,2016,5.0,2.0,2.0,SC_032,2162,19901,349,42,0,hospital_010,2148,S_040,2185
90399.0,-37.960263,145.067976,26-62 Cavanagh Street,CHELTENHAM,6900000.0,house,2015,2.0,1.0,1.0,SC_003,2548,19866,1603,36,0,hospital_109,787,S_023,1355
69368.0,-37.863399,145.088602,1 Poulter Street,ASHBURTON,2695500.0,house,2010,3.0,1.0,1.0,SC_042,1313,19848,818,0,0,hospital_098,409,S_112,637
64226.0,-37.806368,145.276462,3/47-49 Fortuna Avenue,CROYDON,6118000.0,house,2014,3.0,2.0,1.0,SC_022,993,19878,1101,50,0,hospital_164,2326,S_182,901
43759.0,-37.714574,145.075234,4 Ananda Court,WATSONIA,6399000.0,house,2016,3.0,1.0,0.0,SC_017,3832,19984,1008,33,0,hospital_037,2314,S_155,2691
83688.0,-37.852694,144.99013,21 Green Street,WINDSOR,20400000.0,house,2014,4.0,1.0,0.0,SC_066,623,19958,291,9,0,hospital_155,671,S_053,1421
5262.0,-37.858998,144.847482,55 Waters Drive,SEAHOLME,4880000.0,house,2015,3.0,1.0,2.0,SC_033,2943,19927,1084,28,0,hospital_141,4916,S_128,2111
8588.0,-37.764148,144.79044,6 Kingsbridge Circuit,CAIRNLEA,11560000.0,house,2015,5.0,3.0,3.0,SC_107,3846,20002,2054,33,0,hospital_057,2698,S_159,519
95473.0,-37.915869,145.048892,3 Osborne Avenue,BENTLEIGH,15400000.0,house,2011,2.0,1.0,2.0,SC_046,2455,19940,1283,36,0,hospital_110,2066,S_107,826
50782.0,-37.7796402,145.1131439,124 High Street,DONCASTER,9075000.0,house,2008,5.0,3.0,2.0,SC_091,1583,19896,3730,33,0,hospital_194,620,S_046,562
22096.0,-37.74415,144.979773,17 Merribell Avenue,COBURG,11400000.0,house,2013,3.0,1.0,1.0,SC_103,2503,19965,1837,28,0,hospital_144,1432,S_030,1391
27037.0,-37.57355118,144.9299622,48 Royal Terrace,CRAIGIEBURN,6435000.0,house,2008,4.0,2.0,2.0,SC_005,1062,40221,2973,19,0,hospital_104,7108,S_178,1916
45400.0,-37.70368576,145.1118164,7 Bannerman Avenue,GREENSBOROUGH,5614000.0,house,2009,3.0,1.0,1.0,SC_062,5578,19985,398,37,0,hospital_075,675,S_210,1030
53391.0,-37.817232,145.009314,5 Blazey Street,RICHMOND,3155000.0,house,2015,3.0,2.0,2.0,SC_038,2131,19906,962,12,0,hospital_122,681,S_076,1680
88981.0,-37.949757,145.03628,66 Beaumaris Parade,HIGHETT,6750000.0,house,2013,3.0,1.0,2.0,SC_079,536,19872,634,39,0,hospital_110,1524,S_069,536
24257.0,-37.709633,144.972746,28 Bruce Street,FAWKNER,4736000.0,house,2015,3.0,2.0,1.0,SC_030,3263,19962,1432,33,0,hospital_139,2909,S_030,2182
92420.0,-37.976303,145.063237,73 Flinders Street,MENTONE,4920000.0,house,2012,3.0,1.0,2.0,SC_003,2913,19865,551,38,0,hospital_133,596,S_011,488
9603.0,-37.848999,144.729693,6 Shamrock Way,TRUGANINA,4230000.0,house,2015,4.0,2.0,3.0,SC_053,2771,46468,2738,32,0,hospital_073,6132,S_007,2228
51969.0,-37.797967,145.212744,6 Glenwood Close,DONVALE,3915000.0,house,2014,4.0,2.0,0.0,SC_032,2242,19901,1913,42,0,hospital_010,2368,S_040,2193
82286.0,-37.987909,145.247248,54 Kidds Road,DOVETON,4953000.0,house,2013,5.0,2.0,2.0,SC_077,1584,19885,3706,58,0,hospital_119,3158,S_195,1505
24562.0,-37.697217,144.961656,7 Patricia Drive,FAWKNER,6450000.0,house,2011,3.0,1.0,1.0,SC_030,3454,19961,442,35,0,hospital_139,4456,S_161,795
